timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Activity
2019-07-15_113349:960,-0.467224,-0.018799,-0.11691300000000002,0.021452000000000002,-0.01949,-0.004967,-41.060001,3.18,7.18,2a
2019-07-15_113349:980,-0.506378,-0.010162000000000001,-0.105225,0.024626,-0.02187,-0.0063100000000000005,-41.060001,3.18,7.18,2a
2019-07-15_113350:000,-0.5541689999999999,0.016753999999999998,-0.131653,0.024748,-0.016377000000000003,-0.006279,-41.060001,3.18,7.18,2a
2019-07-15_113350:020,-0.548584,0.023375999999999997,-0.13623,0.023038999999999997,-0.002248,-0.002251,-40.68,2.87,6.87,2a
2019-07-15_113350:040,-0.531281,0.022369,-0.133698,0.018797,0.0071519999999999995,0.000984,-40.68,2.87,6.87,2a
2019-07-15_113350:060,-0.5185850000000001,0.023375999999999997,-0.12658699999999998,0.010374,0.015269999999999999,0.003822,-42.560001,2.18,4.87,2a
2019-07-15_113350:080,-0.502808,0.015228,-0.117432,0.006895,0.017100999999999998,0.0061719999999999995,-42.560001,2.18,4.87,2a
2019-07-15_113350:100,-0.49722299999999997,0.004547,-0.116425,-0.001314,0.019756,0.009956,-42.560001,2.18,4.87,2a
2019-07-15_113350:120,-0.46469099999999997,-0.014740000000000001,-0.11438,-0.004213000000000001,0.017833,0.0073620000000000005,-40.68,2.18,6.87,2a
2019-07-15_113350:140,-0.46417200000000003,-0.016753999999999998,-0.11233499999999999,-0.004793,0.013316,0.00309,-40.68,2.18,6.87,2a
2019-07-15_113350:160,-0.465179,-0.012177,-0.10928299999999999,-0.005404,0.009013,0.000831,-41.060001,2.5,7.56,2a
2019-07-15_113350:180,-0.466217,-0.013702,-0.10928299999999999,-0.006014,0.005046,0.001167,-41.060001,2.5,7.56,2a
2019-07-15_113350:200,-0.47995,-0.010651,-0.106232,-0.0064719999999999995,0.002757,0.001381,-41.060001,2.5,7.56,2a
2019-07-15_113350:220,-0.476379,-0.011169,-0.108276,-0.007326000000000001,0.001598,0.001442,-40.25,2.5,8.75,2a
2019-07-15_113350:240,-0.49468999999999996,-0.013213999999999998,-0.112854,-0.007784,0.002788,0.000496,-40.25,2.5,8.75,2a
2019-07-15_113350:260,-0.492126,-0.019318000000000002,-0.10318,-0.008181,0.004894,7.000000000000001e-06,-40.68,3.25,7.18,2a
2019-07-15_113350:280,-0.482483,-0.022858,-0.11233499999999999,-0.007051999999999999,0.004833,-0.000786,-40.68,3.25,7.18,2a
2019-07-15_113350:300,-0.47995,-0.023895,-0.111328,-0.005404,0.0031850000000000003,-0.001397,-40.68,3.25,7.18,2a
2019-07-15_113350:320,-0.489594,-0.018799,-0.108276,-0.003878,0.002361,-0.0009689999999999999,-40.68,2.56,6.87,2a
2019-07-15_113350:340,-0.49468999999999996,-0.011687999999999999,-0.108276,-0.002932,0.002055,-0.000328,-40.68,2.56,6.87,2a
2019-07-15_113350:360,-0.508911,-0.007111,-0.107269,-0.003664,0.003886,-0.000512,-41.369999,2.56,6.06,2a
2019-07-15_113350:380,-0.502808,-0.007599,-0.100159,-0.005007,0.006358,0.00132,-41.369999,2.56,6.06,2a
2019-07-15_113350:400,-0.490112,-0.011687999999999999,-0.099121,-0.006014,0.007762000000000001,0.002571,-41.369999,2.56,6.06,2a
2019-07-15_113350:420,-0.49111899999999997,-0.012177,-0.100647,-0.006991,0.0069689999999999995,0.001381,-40.68,2.18,7.18,2a
2019-07-15_113350:440,-0.49517799999999995,-0.007599,-0.104218,-0.007815,0.006145,6.8e-05,-40.68,2.18,7.18,2a
2019-07-15_113350:460,-0.496704,-0.004059,-0.107269,-0.009066,0.006175,0.001228,-41.369999,2.18,7.56,2a
2019-07-15_113350:480,-0.49365200000000004,-0.005065999999999999,-0.100647,-0.011170999999999999,0.007365000000000001,0.001564,-41.369999,2.18,7.56,2a
2019-07-15_113350:500,-0.495697,-0.0030210000000000002,-0.10116599999999999,-0.012697,0.009226999999999999,0.0007700000000000001,-41.369999,2.18,7.56,2a
2019-07-15_113350:520,-0.5058590000000001,-0.002014,-0.103699,-0.014100999999999999,0.011089,0.000709,-41.060001,2.87,8.0,2a
2019-07-15_113350:540,-0.500275,-0.0025329999999999997,-0.10318,-0.015841,0.012401,0.001503,-41.060001,2.87,8.0,2a
2019-07-15_113350:560,-0.489594,-0.007599,-0.10318,-0.017611,0.012279,0.0030280000000000003,-40.68,4.0,7.56,2a
